co_localite_pj|co_localite_insse|co_localite_insee_pj|lib_commune|principale
00100100|01001|01001|L'Abergement Clémenciat|1
00100200|01002|01002|L'Abergement de Varey|1
00100300|01000|00100300|Amareins|0
00100400|01004|01004|Ambérieu en Bugey|1
00100500|01005|01005|Ambérieux en Dombes|1
00100600|01006|01006|Ambléon|1
00100700|01007|01007|Ambronay|1
00100800|01008|01008|Ambutrix|1
00100900|01009|01009|Andert et Condon|1
00101000|01010|01010|Anglefort|1
00101100|01011|01011|Apremont|1
00101200|01012|01012|Aranc|1
00101300|01013|01013|Arandas|1
00101400|01014|01014|Arbent|1
00101500|01015|01015|Arbignieu|1
00101600|01016|01016|Arbigny|1
00101700|01017|01017|Argis|1
00101800|01000|00101800|Arlod|0
00101900|01019|01019|Armix|1
00102000|01000|00102000|Arnans|0
00102100|01021|01021|Ars sur Formans|1
00102200|01022|01022|Artemare|1
00102300|01023|01023|Asnières sur Saône|1
00102400|01024|01024|Attignat|1
00102500|01025|01025|Bâgé la Ville|1
00102600|01026|01026|Bâgé le Châtel|1
00102700|01027|01027|Balan|1
00102750|01000|00102750|Le Balmay|0
00102800|01028|01028|Baneins|1
00102860|01170|01170|Béard-Géovreissiat|1
00102900|01029|01029|Beaupont|1
00103000|01030|01030|Beauregard|1
00103200|01032|01032|Béligneux|1
00103300|01033|01033|Bellegarde sur Valserine|1
00103400|01034|01034|Belley|1
00103500|01035|01035|Belleydoux|1
00103550|01031|01031|Bellignat|1
00103600|01036|01036|Belmont Luthézieu|1
00103700|01037|01037|Bénonces|1
00103800|01038|01038|Bény|1
00103900|01039|01039|Béon|1
00104000|01040|01040|Béréyziat|1
00104100|01041|01041|Bettant|1
00104200|01042|01042|Bey|1
00104300|01043|01043|Beynost|1
00104400|01044|01044|Billiat|1
00104450|01000|00104450|Bioleaz|0
00104500|01045|01045|Birieux|1
00104600|01046|01046|Biziat|1
00104700|01047|01047|Blyes|1
00104750|01000|00104750|Bohas|0
00104800|01245|01245|Bohas-Meyriat-Rignat|1
00104900|01049|01049|La Boisse|1
00105000|01050|01050|Boissey|1
00105100|01051|01051|Bolozon|1
00105200|01052|01052|Bouligneux|1
00105300|01053|01053|Bourg en Bresse|1
00105400|01054|01054|Bourg Saint Christophe|1
00105600|01056|01056|Boyeux Saint Jérôme|1
00105700|01057|01057|Boz|1
00105800|01058|01058|Brégnier Cordon|1
00105900|01059|01059|Brénaz|1
00106000|01060|01060|Brénod|1
00106100|01061|01061|Brens|1
00106200|01062|01062|Bressolles|1
00106250|01000|00106250|Bretigny|0
00106300|01063|01063|Brion|1
00106400|01064|01064|Briord|1
00106500|01065|01065|Buellas|1
00106600|01066|01066|La Burbanche|1
00106650|01000|00106650|Camp de la Valbonne|0
00106700|01067|01067|Ceignes|1
00106800|01068|01068|Cerdon|1
00106900|01069|01069|Certines|1
00107000|01000|00107000|Cesseins|0
00107100|01071|01071|Cessy|1
00107200|01072|01072|Ceyzériat|1
00107300|01073|01073|Ceyzérieu|1
00107400|01074|01074|Chalamont|1
00107500|01075|01075|Chaleins|1
00107600|01076|01076|Chaley|1
00107700|01077|01077|Challes|1
00107800|01078|01078|Challex|1
00107900|01079|01079|Champagne en Valromey|1
00108000|01080|01080|Champdor|1
00108100|01081|01081|Champfromier|1
00108200|01082|01082|Chanay|1
00108300|01083|01083|Chaneins|1
00108400|01084|01084|Chanoz Châtenay|1
00108500|01085|01085|La Chapelle du Châtelard|1
00108700|01087|01087|Charix|1
00108800|01088|01088|Charnoz sur Ain|1
00108900|01089|01089|Château Gaillard|1
00109000|01090|01090|Châtenay|1
00109100|01091|01091|Châtillon en Michaille|1
00109200|01092|01092|Châtillon la Palud|1
00109300|01093|01093|Châtillon sur Chalaronne|1
00109400|01094|01094|Chavannes sur Reyssouze|1
00109500|01095|01095|Chavannes sur Suran|1
00109600|01096|01096|Chaveyriat|1
00109700|01097|01097|Chavornay|1
00109800|01098|01098|Chazey Bons|1
00109900|01099|01099|Chazey sur Ain|1
00110000|01100|01100|Cheignieu la Balme|1
00110100|01101|01101|Chevillard|1
00110200|01102|01102|Chevroux|1
00110300|01103|01103|Chevry|1
00110400|01104|01104|Chézery Forens|1
00110500|01105|01105|Civrieux|1
00110600|01106|01106|Cize|1
00110648|01107|01107|Cleyzieu|1
00110700|01000|00110700|La Cluse|0
00110800|01108|01108|Coligny|1
00110900|01109|01109|Collonges|1
00111000|01110|01110|Colomieu|1
00111050|01000|00111050|La Combe d'Evuaz|0
00111100|01111|01111|Conand|1
00111200|01112|01112|Condamine|1
00111300|01113|01113|Condeissiat|1
00111400|01114|01114|Confort|1
00111500|01115|01115|Confrancon|1
00111600|01116|01116|Contrevoz|1
00111700|01117|01117|Conzieu|1
00111800|01118|01118|Corbonod|1
00111900|01119|01119|Corcelles|1
00112000|01000|00112000|Corgenon|0
00112100|01121|01121|Corlier|1
00112200|01122|01122|Cormaranche en Bugey|1
00112300|01123|01123|Cormoranche sur Saône|1
00112400|01124|01124|Cormoz|1
00112500|01125|01125|Corveissiat|1
00112600|01000|00112600|Coupy|0
00112700|01127|01127|Courmangoux|1
00112800|01128|01128|Courtes|1
00112900|01129|01129|Crans|1
00113000|01130|01130|Cras sur Reyssouze|1
00113300|01133|01133|Cressin Rochefort|1
00113400|01134|01134|Crottet|1
00113500|01135|01135|Crozet|1
00113600|01136|01136|Cruzilles lès Mépillat|1
00113700|01000|00113700|Cuisiat|0
00113800|01138|01138|Culoz|1
00113900|01139|01139|Curciat Dongalon|1
00114000|01140|01140|Curtafond|1
00114050|01000|00114050|Cuvery Retord|0
00114100|01141|01141|Cuzieu|1
00114200|01142|01142|Dagneux|1
00114300|01143|01143|Divonne les Bains|1
00114400|01144|01144|Dommartin|1
00114600|01146|01146|Dompierre sur Chalaronne|1
00114650|01145|01145|Dompierre sur Veyle|1
00114700|01147|01147|Domsure|1
00114800|01148|01148|Dortan|1
00114900|01149|01149|Douvres|1
00115000|01150|01150|Drom|1
00115100|01151|01151|Druillat|1
00115200|01152|01152|Echallon|1
00115300|01153|01153|Echenevex|1
00115315|01249|00115315|Les Echets|0
00115400|01154|01154|Etrez|1
00115500|01155|01155|Evosges|1
00115600|01156|01156|Faramans|1
00115700|01157|01157|Fareins|1
00115800|01158|01158|Farges|1
00115900|01159|01159|Feillens|1
00116000|01160|01160|Ferney Voltaire|1
00116154|01162|01162|Flaxieu|1
00116300|01163|01163|Foissiat|1
00116500|01165|01165|Francheleins|1
00116600|01166|01166|Frans|1
00116700|01167|01167|Garnerans|1
00116900|01169|01169|Genouilleux|1
00117100|01171|01171|Géovreisset|1
00117150|01170|00117150|Géovreissiat|0
00117200|01172|01172|Germagnat|1
00117300|01173|01173|Gex|1
00117400|01174|01174|Giron|1
00117500|01175|01175|Gorrevod|1
00117600|01176|01176|Le Grand Abergement|1
00117700|01177|01177|Grand Corent|1
00117900|01179|01179|Grièges|1
00118000|01180|01180|Grilly|1
00118100|01181|01181|Groissiat|1
00118200|01182|01182|Groslée|1
00118300|01183|01183|Guéreins|1
00118400|01184|01184|Hautecourt Romanèche|1
00118500|01185|01185|Hauteville Lompnes|1
00118550|01000|00118550|Heyriat|0
00118600|01186|01186|Hostiaz|1
00118700|01187|01187|Hotonnes|1
00118800|01188|01188|Illiat|1
00118900|01189|01189|Injoux Génissiat|1
00119000|01190|01190|Innimond|1
00119100|01191|01191|Izenave|1
00119200|01192|01192|Izernore|1
00119300|01193|01193|Izieu|1
00119350|01000|00119350|Le Jalinard|0
00119400|01194|01194|Jassans Riottier|1
00119500|01195|01195|Jasseron|1
00119600|01196|01196|Jayat|1
00119700|01197|01197|Journans|1
00119800|01198|01198|Joyeux|1
00119900|01199|01199|Jujurieux|1
00120000|01200|01200|Labalme|1
00120050|01000|00120050|Lachat|0
00120100|01000|00120100|Lacoux|0
00120200|01202|01202|Lagnieu|1
00120300|01203|01203|Laiz|1
00120400|01204|01204|Lalleyriat|1
00120500|01205|01205|Lancrans|1
00120600|01206|01206|Lantenay|1
00120700|01207|01207|Lapeyrouse|1
00120821|01208|01208|Lavours|1
00120900|01209|01209|Léaz|1
00121000|01210|01210|Lélex|1
00121100|01211|01211|Lent|1
00121200|01212|01212|Lescheroux|1
00121300|01213|01213|Leyment|1
00121400|01214|01214|Leyssard|1
00121500|01215|01215|Lhôpital|1
00121600|01216|01216|Lhuis|1
00121800|01218|01218|Lochieu|1
00121900|01219|01219|Lompnas|1
00122100|01221|01221|Lompnieu|1
00122200|01000|00122200|Longecombe|0
00122250|01209|00122250|Longeray|0
00122300|01000|00122300|Loyes|0
00122400|01224|01224|Loyettes|1
00122500|01225|01225|Lurcy|1
00122700|01227|01227|Magnieu|1
00122800|01228|01228|Maillat|1
00122900|01229|01229|Malafretaz|1
00123000|01230|01230|Mantenay Montlin|1
00123100|01231|01231|Manziat|1
00123200|01232|01232|Marboz|1
00123300|01233|01233|Marchamp|1
00123400|01234|01234|Marignieu|1
00123500|01235|01235|Marlieux|1
00123600|01236|01236|Marsonnas|1
00123700|01237|01237|Martignat|1
00123750|01000|00123750|Le Mas Pugues|0
00123800|01238|01238|Massieux|1
00123900|01239|01239|Massignieu de Rives|1
00124000|01240|01240|Matafelon Granges|1
00124100|01241|01241|Meillonnas|1
00124150|01000|00124150|Menthières|0
00124200|01242|01242|Mérignat|1
00124300|01243|01243|Messimy sur Saône|1
00124400|01244|01244|Meximieux|1
00124500|01000|00124500|Meyriat|0
00124600|01246|01246|Mézériat|1
00124700|01247|01247|Mijoux|1
00124800|01248|01248|Mionnay|1
00124900|01249|01249|Miribel|1
00125000|01250|01250|Misérieux|1
00125200|01252|01252|Mogneneins|1
00125300|01000|00125300|Mollon|0
00125400|01254|01254|Montagnat|1
00125500|01255|01255|Montagnieu|1
00125700|01257|01257|Montanges|1
00125800|01258|01258|Montceaux|1
